product_name,new_price [PLN],product_weight
Kawa mielona Brazylia Santos,83.0,1.0
Kawa ziarnista Brazylia Santos,83.0,1.0
Kawa mielona Brazylia Santos,46.0,0.5
Kawa ziarnista Brazylia Santos,46.0,0.5
Kawa mielona Brazylia Santos,28.0,0.25
Kawa ziarnista Brazylia Santos,28.0,0.25
Kawa mielona Nikaragua SHG,96.0,1.0
Kawa ziarnista Nikaragua SHG,96.0,1.0
Kawa mielona Nikaragua SHG,50.0,0.5
Kawa ziarnista Nikaragua SHG,50.0,0.5
Kawa mielona Nikaragua SHG,29.0,0.25
Kawa ziarnista Nikaragua SHG,29.0,0.25
Kawa mielona Honduras SHG,99.0,1.0
Kawa ziarnista Honduras SHG,99.0,1.0
Kawa mielona Honduras SHG,53.0,0.5
Kawa ziarnista Honduras SHG,53.0,0.5
Kawa mielona Honduras SHG,30.0,0.25
Kawa ziarnista Honduras SHG,30.0,0.25
Kawa mielona India Monsoon Malabar AA,99.0,1.0
Kawa ziarnista India Monsoon Malabar AA,99.0,1.0
Kawa mielona India Monsoon Malabar AA,53.0,0.5
Kawa ziarnista India Monsoon Malabar AA,53.0,0.5
Kawa mielona India Monsoon Malabar AA,30.0,0.25
Kawa ziarnista India Monsoon Malabar AA,30.0,0.25
Kawa mielona Etiopia Yirgacheffe,135.0,1.0
Kawa ziarnista Etiopia Yirgacheffe,135.0,1.0
Kawa mielona Etiopia Yirgacheffe,69.0,0.5
Kawa ziarnista Etiopia Yirgacheffe,69.0,0.5
Kawa mielona Etiopia Yirgacheffe,35.0,0.25
Kawa ziarnista Etiopia Yirgacheffe,35.0,0.25
Kawa mielona Kolumbia Excelso Ep Medellin,96.0,1.0
Kawa ziarnista Kolumbia Excelso Ep Medellin,96.0,1.0
Kawa mielona Kolumbia Excelso Ep Medellin,50.0,0.5
Kawa ziarnista Kolumbia Excelso Ep Medellin,50.0,0.5
Kawa mielona Kolumbia Excelso Ep Medellin,29.0,0.25
Kawa ziarnista Kolumbia Excelso Ep Medellin,29.0,0.25
