product_name,price_old [PLN],price_netto [PLN],new_price [PLN],package_weight [KG]
Kawa ziarnista Cornella Barista PRO Premium Grade 96,129.99,89.8323,110.49,1.0
Kawa ziarnista MRC. Cappuccino Blend,120.0,73.1723,90.0,1.0
Kawa ziarnista Bazzara AROMAMORE,132.99,89.7423,110.38,1.0
Kawa ziarnista Bazzara GRANCAPPUCCINO,129.99,87.7223,107.89,1.0
Kawa ziarnista LaCava Colombia Jairo Arcila,119.0,67.7223,83.3,0.2
Kawa ziarnista Roastains Kolumbia Flying Buddy ESPRESSO,116.0,66.0223,81.2,1.0
Kapsułki do Nespresso STARBUCKS® Blonde Espresso Roast 10 sztuk,25.99,16.2523,19.99,
Kawa ziarnista STARBUCKS® HOLIDAY BLEND,34.99,24.3823,29.99,0.19
Kawa ziarnista LaCava Certified Espresso Blend BIO,159.0,90.4923,111.3,1.0
Kawa ziarnista Trip Coffee Nikaragua,29.99,19.5023,23.99,0.25
Kawa ziarnista Trip Coffee Kolumbia,27.99,18.2023,22.39,0.25
Kawa ziarnista Trip Coffee Brazylia,24.99,16.2523,19.99,0.25
Kawa ziarnista Trip Coffee Tatry,29.99,19.5023,23.99,0.25
Kawa ziarnista Trip Coffee Tatry,99.99,65.0323,79.99,1.0
Kawa ziarnista LaCava Colombia Aponte,55.0,31.3023,38.5,0.25
Kawa ziarnista Java Gwatemala Los Dos Socios FILTR,67.5,45.5523,56.03,0.25
Kawa ziarnista Java Uganda Clarke Farm ESPRESSO,57.5,38.8023,47.73,0.25
Kawa ziarnista Java Uganda Clarke Farm FILTR,57.5,38.8023,47.73,0.25
Kawa ziarnista Ingagi Coffee Half-Caff,149.99,85.3623,104.99,1.0
Kawa ziarnista Ingagi Coffee Half-Caff,37.99,21.6223,26.59,0.25
Kawa ziarnista PIXEL Fruity Espresso Uganda Engeya Washed,46.0,29.9223,36.8,0.25
Kawa ziarnista HAYB  Konesso Gwatemala Santa Rosa Barrel Aged Espresso,44.99,26.3323,32.39,0.25
