name,previous_price [PLN],new_price [PLN],product_quantity,product_weight
"Zestaw kawy ziarnistej Caprisette,",150.8,102.5,4,0.25
"Zestaw ziaren kawy Caprisette,  w świątecznym pudełku upominkowym",160.99,80.5,4,0.25
"Zestaw kaw ziarnistych Caprisette TOP,",145.97,87.58,3,0.25
"Zestaw kawy mielonej Caprisette,",150.8,102.5,4,0.25
"Zestaw kawy mielonej Caprisette,  w świątecznym pudełku upominkowym",160.99,80.5,4,0.25
"Zestaw kawy mielonej Caprisette TOP,",145.97,87.58,3,0.25
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Fragrante, .",53.97,43.17,3,10.0
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Belgique, .",53.97,43.19,3,10.0
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Intenso, .",53.97,43.19,3,10.0
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Royale, .",53.97,43.19,3,10.0
Zestaw kaw ziarnistych Expert-Top,369.99,239.99,1,
"Zestaw kaw ziarnistych BCWP TOP,",181.09,97.99,3,0.25
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Caramel Latte, 16 szt.",19.99,16.99,1,16.0
"Kapsułki  NESCAFÉ® Dolce Gusto® CHiATO Espresso, 16 szt.",19.99,16.99,1,16.0
"Kapsułki kakaowe NESCAFÉ® Dolce Gusto® CHiATO Cocoa, 16 szt.",19.99,16.99,1,16.0
"Kawa ziarnista specialty Black Crow White Pigeon Peru Cafe Femenino, 250 g",54.99,38.49,1,0.25
"Kawa ziarnista specialty Black Crow White Pigeon Peru Cafe Femenino (Filter), 200 g",54.99,38.49,1,0.2
"Kawa ziarnista specialty Black Crow White Pigeon Ethiopia Burtukaana (Filter), 200 g",54.99,38.49,1,0.2
"Kawa mielona specialty Black Crow White Pigeon Ethiopia Burtukaana, 250 g",74.99,52.49,1,0.25
"Kawa mielona specialty Black Crow White Pigeon Indonesia Sumatra, 250 g",54.99,38.49,1,0.25
"Kawa mielona specialty Black Crow White Pigeon Guatemala La Hermosa, 250 g",54.99,38.49,1,0.25
"Kawa mielona specialty Black Crow White Pigeon Brazil Santa Luzia, 250 g",60.79,42.55,1,0.25
"Kawa mielona specialty Black Crow White Pigeon Peru Cafe Femenino, 250 g",54.99,38.49,1,0.25
Zestaw kawy ziarnistej Kivu + Magnifico,284.98,213.74,1,
"Zestaw kawy ziarnistej Single Origin, 3 kg",479.97,359.98,1,3.0
"Zestaw kawy ziarnistej Specialty Indonesia Sumatra,",164.97,123.73,3,0.25
Zestaw kawy ziarnistej Specialty Yirgacheffe + Kenya Kariru + Indonesia Sumatra,174.97,131.23,1,
