name,price_old,price_netto,price_new
Kawa ziarnista Cornella Barista PRO Premium Grade 96 1kg,"129,99 zł","89,83 zł +23% VAT","110,49 zł"
ZESTAW - Kawa ziarnista Costa Coffee Crema Blend 2x1kg,N/A,"95,59 zł +23% VAT","117,58 zł"
Kawa ziarnista MRC. Cappuccino Blend 1kg,"120,00 zł","73,17 zł +23% VAT","90,00 zł"
ZESTAW - Kawa ziarnista Bazzara AROMAMORE 2x1kg + szklanka termiczna Small Latte 250 ml,N/A,"203,24 zł +23% VAT","249,99 zł"
ZESTAW - Kawa ziarnista Bazzara DOLCEVIVACE 2x1kg + szklanka termiczna Cappuccino 210 ml,N/A,"162,59 zł +23% VAT","199,98 zł"
Kawa ziarnista Bazzara AROMAMORE 1kg,"132,99 zł","89,74 zł +23% VAT","110,38 zł"
Kawa ziarnista Bazzara GRANCAPPUCCINO 1kg,"129,99 zł","87,72 zł +23% VAT","107,89 zł"
Kawa ziarnista Lavazza Qualita Rossa 1kg + GRATIS Espresso Barista Perfetto 100g,N/A,"65,03 zł +23% VAT","79,99 zł"
Kawa ziarnista LaCava Colombia Jairo Arcila 200g,"119,00 zł","67,72 zł +23% VAT","83,30 zł"
Kawa ziarnista Momento Konesso Filtr 250g,N/A,"52,84 zł +23% VAT","64,99 zł"
Kawa ziarnista Roastains Kolumbia Flying Buddy ESPRESSO 1kg,"116,00 zł","66,02 zł +23% VAT","81,20 zł"
Kapsułki do Nespresso STARBUCKS® Blonde Espresso Roast 10 sztuk,"25,99 zł","16,25 zł +23% VAT","19,99 zł"
Kawa ziarnista STARBUCKS® HOLIDAY BLEND 190g,"34,99 zł","24,38 zł +23% VAT","29,99 zł"
Kawa ziarnista Arcaffe Roma 1kg,N/A,"113,81 zł +23% VAT","139,99 zł"
Kawa ziarnista LaCava Certified Espresso Blend BIO 1kg,"159,00 zł","90,49 zł +23% VAT","111,30 zł"
Kawa ziarnista Trip Coffee Nikaragua 250g,"29,99 zł","19,50 zł +23% VAT","23,99 zł"
Kawa ziarnista Trip Coffee Kolumbia 250g,"27,99 zł","18,20 zł +23% VAT","22,39 zł"
Kawa ziarnista Trip Coffee Brazylia 250g,"24,99 zł","16,25 zł +23% VAT","19,99 zł"
Kawa ziarnista Trip Coffee Laponia 250g,N/A,"29,26 zł +23% VAT","35,99 zł"
Kawa ziarnista Trip Coffee Laponia 1kg,N/A,"105,68 zł +23% VAT","129,99 zł"
Kawa ziarnista Trip Coffee Tatry 250g,"29,99 zł","19,50 zł +23% VAT","23,99 zł"
Kawa ziarnista Trip Coffee Tatry 1kg,"99,99 zł","65,03 zł +23% VAT","79,99 zł"
ZESTAW - Kawa ziarnista Kawariatka 250g + kubek termiczny 330 ml,N/A,"123,56 zł +23% VAT","151,98 zł"
ZESTAW - Kawa ziarnista Kawariatka 1kg + kubek termiczny 330 ml,N/A,"200,80 zł +23% VAT","246,98 zł"
ZESTAW - Kawa ziarnista Trip Coffee Nikaragua 1kg + kubek termiczny,N/A,"150,39 zł +23% VAT","184,98 zł"
Kawa ziarnista LaCava Colombia Aponte 250g,"55,00 zł","31,30 zł +23% VAT","38,50 zł"
Kawa ziarnista Java Gwatemala Los Dos Socios FILTR 250g,"67,50 zł","45,55 zł +23% VAT","56,03 zł"
Kawa ziarnista Java Uganda Clarke Farm ESPRESSO 250g,"57,50 zł","38,80 zł +23% VAT","47,73 zł"
Kawa ziarnista Java Uganda Clarke Farm FILTR 250g,"57,50 zł","38,80 zł +23% VAT","47,73 zł"
Kawa ziarnista ROST Kenia Magomano Microlot Filtr 250g,N/A,"56,91 zł +23% VAT","70,00 zł"
Kawa ziarnista Miga Rwanda Cyiya Omniroast 200g,N/A,"47,15 zł +23% VAT","58,00 zł"
Kawa ziarnista Ingagi Coffee Half-Caff 1kg,"149,99 zł","85,36 zł +23% VAT","104,99 zł"
Kawa ziarnista Ingagi Coffee Half-Caff 250g,"37,99 zł","21,62 zł +23% VAT","26,59 zł"
Kawa ziarnista PIXEL Fruity Espresso Uganda Engeya Washed 250g,"46,00 zł","29,92 zł +23% VAT","36,80 zł"
Kawa ziarnista Kawariatka 1kg,N/A,"113,81 zł +23% VAT","139,99 zł"
Kawa ziarnista Kawariatka 250g,N/A,"32,51 zł +23% VAT","39,99 zł"
Kawa ziarnista HAYB  Konesso Gwatemala Santa Rosa Barrel Aged Espresso 250g,"44,99 zł","26,33 zł +23% VAT","32,39 zł"
Kawa ziarnista Story Christmas Coffee - Świąteczna kawa 250g,"48,00 zł","29,27 zł +23% VAT","36,00 zł"
Kawa ziarnista Story Christmas Coffee - Świąteczna Kawa 1kg,"149,99 zł","91,46 zł +23% VAT","112,49 zł"
Kawa ziarnista HAYB Konesso Filter Blend 250g,"37,99 zł","22,24 zł +23% VAT","27,35 zł"
Kawa ziarnista HAYB Konesso Espresso Blend 1kg,"139,99 zł","81,94 zł +23% VAT","100,79 zł"
Kawa ziarnista Story Coffee Roasters Love Shot 250g,N/A,"30,89 zł +23% VAT","37,99 zł"
Kawa ziarnista Paloma Kenia Baragwi Thimu AB 250g,"59,99 zł","32,67 zł +23% VAT","40,19 zł"
ZESTAW Kawa ziarnista Bazzara DODICIGRANCRU 2x1kg + 4x250g,"443,64 zł","299,38 zł +23% VAT","368,24 zł"
Kawa ziarnista Bazzara PIACEREPURO 1kg,"149,99 zł","101,21 zł +23% VAT","124,49 zł"
Kawa mielona Bazzara DODICIGRANCRU 250g,"47,99 zł","32,38 zł +23% VAT","39,83 zł"
Kawa ziarnista Lucaffe Blucaffe 700g,"234,99 zł","162,39 zł +23% VAT","199,74 zł"
ZESTAW Kawa ziarnista Pellini Top 1kg + Etno Cafe Yirgacheffe 1kg,N/A,"182,93 zł +23% VAT","225,00 zł"
Kawa ziarnista Mott Coffee Tarrazu Yellow Honey 250g,"34,99 zł","22,76 zł +23% VAT","27,99 zł"
