name,price_old,price_new
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Royale, 10 szt.",N/A,N/A
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Intenso, 10 szt.",N/A,N/A
"Zestaw kawy ziarnistej Caprisette, 4 x 250 g","150,80","102,50"
"Zestaw ziaren kawy Caprisette, 4 x 250 g w świątecznym pudełku upominkowym","160,99","80,50"
"Zestaw kaw ziarnistych Caprisette TOP, 3 x 250 g","145,97","87,58"
"Zestaw kawy mielonej Caprisette, 4 x 250 g","150,80","102,50"
"Zestaw kawy mielonej Caprisette, 4 x 250 g w świątecznym pudełku upominkowym","160,99","80,50"
"Zestaw kawy mielonej Caprisette TOP, 3 x 250 g","145,97","87,58"
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Fragrante, 3 x 10 szt.","53,97","43,17"
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Belgique, 3 x 10 szt.","53,97","43,19"
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Intenso, 3 x 10 szt.","53,97","43,19"
"Kawa w kapsułkach do ekspresów Nespresso® Caprisette Royale, 3 x 10 szt.","53,97","43,19"
"Kawa ziarnista Parallel 36, 1 kg",N/A,N/A
"Kawa ziarnista Parallel 12, 1 kg",N/A,N/A
"Kawa ziarnista Parallel 17, 1 kg",N/A,N/A
"Kawa ziarnista Parallel 17 w pudełku prezentowym, 1 kg",N/A,N/A
"Kawa ziarnista Parallel 12 w pudełku prezentowym, 1 kg",N/A,N/A
"Kawa ziarnista Parallel 36, 250 g",N/A,N/A
"Kawa ziarnista Parallel 12, 250 g",N/A,N/A
"Kawa ziarnista Parallel 17, 250 g",N/A,N/A
"Kawa ziarnista Parallel 36, 150 g",N/A,N/A
"Kawa ziarnista Parallel 12, 150 g",N/A,N/A
"Kawa mielona Parallel 12, 250 g",N/A,N/A
"Kawa mielona Parallel 36, 250 g",N/A,N/A
Zestaw kaw ziarnistych Expert-Top,"369,99","239,99"
"Zestaw kaw ziarnistych BCWP TOP, 3 x 250 g","181,09","97,99"
"Kawa mielona o smaku amaretto CHiATO Amaretto, 250 g",N/A,N/A
"Kawa mielona o smaku irlandzkiej śmietanki CHiATO Irish Cream, 250 g",N/A,N/A
"Kawa mielona o smaku karmelowym CHiATO Caramel, 250 g",N/A,N/A
"Kawa mielona o smaku orzecha laskowego CHiATO Hazelnut, 250 g",N/A,N/A
"Kawa mielona o smaku crème brûlée CHiATO Crème Brûlée, 250 g",N/A,N/A
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Cappuccino, 8+8 szt.",N/A,N/A
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Caramel Latte, 16 szt.","19,99","16,99"
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Lungo, 16 szt.",N/A,N/A
"Kapsułki  NESCAFÉ® Dolce Gusto® CHiATO Espresso, 16 szt.","19,99","16,99"
"Kapsułki kakaowe NESCAFÉ® Dolce Gusto® CHiATO Cocoa, 16 szt.","19,99","16,99"
"Kawa ziarnista specialty Black Crow White Pigeon Peru Cafe Femenino, 250 g","54,99","38,49"
"Kawa ziarnista specialty Black Crow White Pigeon Peru Cafe Femenino (Filter), 200 g","54,99","38,49"
"Kawa ziarnista specialty Black Crow White Pigeon Ethiopia Burtukaana (Filter), 200 g","54,99","38,49"
"Kawa mielona specialty Black Crow White Pigeon Ethiopia Burtukaana, 250 g","74,99","52,49"
"Kawa mielona specialty Black Crow White Pigeon Indonesia Sumatra, 250 g","54,99","38,49"
"Kawa mielona specialty Black Crow White Pigeon Guatemala La Hermosa, 250 g","54,99","38,49"
"Kawa mielona specialty Black Crow White Pigeon Brazil Santa Luzia, 250 g","60,79","42,55"
"Kawa mielona specialty Black Crow White Pigeon Peru Cafe Femenino, 250 g","54,99","38,49"
Zestaw kawy ziarnistej Kivu + Magnifico,"284,98","213,74"
"Zestaw kawy ziarnistej Single Origin, 3 kg","479,97","359,98"
"Zestaw kawy ziarnistej Specialty Indonesia Sumatra, 3 x 250 g","164,97","123,73"
Zestaw kawy ziarnistej Specialty Yirgacheffe + Kenya Kariru + Indonesia Sumatra,"174,97","131,23"
"Kawa ziarnista specialty Black Crow White Pigeon Ethiopia Shakisso, 250 g","69,99","48,99"
"Kawa ziarnista specialty Black Crow White Pigeon Ethiopia Burtukaana, 250 g","74,99","52,49"
"Kawa ziarnista specialty Black Crow White Pigeon Guatemala La Hermosa, 1 kg","159,99","111,99"
"Kawa ziarnista specialty Black Crow White Pigeon Kenya Kariru AA, 250 g","64,99","45,49"
"Kawa ziarnista specialty Black Crow White Pigeon Brazil Santa Luzia, 1 kg","147,09","102,96"
"Bezkofeinowa kawa specialty Black Crow White Pigeon Colombia Decaf, 250 g","54,99","38,49"
"Kawa ziarnista specialty Black Crow White Pigeon Colombia Geisha, 200 g","129,99","90,99"
"Kawa ziarnista specialty Black Crow White Pigeon Guatemala La Hermosa, 250 g","49,99","34,99"
"Kawa ziarnista specialty Black Crow White Pigeon Ethiopia Burtukaana, 1 kg","194,99","136,49"
"Kawa ziarnista specialty Black Crow White Pigeon Nicaragua Maragogype, 250 g","74,99","52,49"
"Kawa ziarnista specialty Black Crow White Pigeon Nicaragua Limoncillo Ethiosar, 200 g","64,99","45,49"
"Kawa ziarnista specialty Black Crow White Pigeon Colombia La Cabana, 200 g","64,99","45,49"
